id,SalePrice
2658,136104.766259655
2718,175506.80681057324
2414,206329.1545565778
1989,108362.48475479656
625,162798.66474797876
333,91059.9932025079
1327,109563.03418030145
858,161642.70419570696
95,193409.57272452003
1568,158566.6866977507
2482,152414.16514953543
1364,113898.47939046758
2584,157345.2838028611
818,262765.64681263804
2673,157936.40657528295
2089,120228.18227030983
1297,127967.11445276786
790,111517.79678316759
2616,191229.47217975478
720,191414.61930110777
222,152392.3921853996
557,122935.13827791277
1148,185684.83060460945
2766,175980.8032595611
534,192648.31742502467
1452,121834.28894401307
630,129533.7408812135
2648,116373.96108061606
125,165617.61413826837
1904,73276.20125556746
1670,110911.71741648403
756,90404.68270016575
717,225646.13250012574
1032,150497.85765182582
852,212548.2282111432
1731,189494.8656838889
2639,108206.18231752938
2071,96133.78850432395
1267,143900.85228909247
1851,203416.8394855891
567,159212.07479865785
2439,211583.43701108158
1898,152373.95171777168
647,164231.3872414819
2256,202159.1323671079
979,97129.632728195
1444,213503.04430042923
2485,110223.4735382915
157,126592.24153113896
88,112732.97921270976
2003,108129.85215383144
186,219301.90087558518
1425,249913.8654861655
2695,112787.53282047587
738,104474.71739309274
395,163507.86226179491
1353,166456.4361702089
1878,134897.25590299568
390,149680.33642312698
1456,226445.12164357412
1103,305422.44548200804
1387,105232.98482334318
2070,135183.94324185743
1199,182586.65740602295
2479,171231.4679506796
501,305006.9055448287
2362,96884.9644877615
1718,186080.32998893343
2188,84601.56110248547
1483,141172.92310017772
2557,91085.95410020751
437,413837.401321964
2224,203802.11693091877
1628,184137.33871739893
397,144400.98764595756
587,194922.10749206983
971,145863.61282790807
2611,142334.69675342314
1887,101440.97052985131
2399,355888.34476084745
2148,205389.21452141952
304,94306.98275700072
1997,116165.43495874232
2817,117586.33698672167
1431,198525.55605879915
427,365188.3065910511
263,120932.20583550261
598,162857.32614378753
2895,253982.98543586454
687,162164.4182323588
1822,136406.10099355286
2191,110472.74655083961
179,126763.22270228718
1009,202075.94873116512
2010,129204.20244183313
1991,126928.27415852691
1411,144488.34358757988
1721,238367.88770041388
1144,177800.39249004467
593,213939.34283876998
575,337290.9728986853
1249,185481.47320036442
1604,117891.38909318966
1064,492981.5002267378
1923,153238.06842697825
1988,117323.18139098772
2325,163975.3385560324
114,196451.00766929315
2700,182083.48174608854
217,124703.89490957408
343,161040.14184802817
386,236251.61550705807
2005,115813.61143394827
2908,153611.89700657554
1814,216507.78483055125
2446,649675.2751510368
208,152389.5724593546
1679,103603.61496595423
822,306325.72791961743
6,187601.14369605537
1781,383347.7933154226
2397,293889.8891422282
2340,295326.16132286185
1618,180356.2427283624
2843,124199.18499628913
1061,372503.66580060875
2786,131916.51814978465
1935,134945.18958139344
1341,113208.29749586829
521,276922.82173360337
2136,136457.6341923783
996,175355.34382472056
227,143408.54032488962
135,175122.78737939367
1167,156406.88916954596
294,232921.50891184172
1776,222665.51079067012
540,180367.4521056551
1717,186076.76940146962
